School District,Category,Pre-K Applicants,Pre-K Offers,Kindergarten Applicants,Kindergarten Offers,Grade 6 Applicants,Grade 6 Offers,Grade 9 Applicants,Grade 9 Offers
1,Home Language is TADZHIK,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is TAMIL,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is TELUGU,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is THAI,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is TIBETAN,N/A,N/A,N/A,N/A,s,s,16,s
1,Home Language is TURKISH,N/A,N/A,N/A,N/A,9,s,14,s
1,Home Language is TWI,N/A,N/A,N/A,N/A,s,s,11,s
1,Home Language is UKRAINIAN,N/A,N/A,N/A,N/A,s,s,11,s
1,Home Language is URDU,N/A,N/A,N/A,N/A,8,s,23,s
1,Home Language is UZBEK,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is VIETNAMESE,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is VIETNAMESE-CHINESE,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is VISAYAK,N/A,N/A,N/A,N/A,s,s,s,s
1,Home Language is WOLOF,N/A,N/A,N/A,N/A,s,s,8,s
1,Home Language is YORUBA,N/A,N/A,N/A,N/A,s,s,s,s
1,Residential District 01,442,407,544,538,528,487,544,190
1,Residential District 02,307,222,204,54,676,104,"1,744",165
1,Residential District 03,9,s,12,s,169,7,526,73
1,Residential District 04,7,s,10,s^,49,12,276,20
1,Residential District 05,11,s,13,6,63,9,284,16
1,Residential District 06,9,s,10,s,41,s,363,26
1,Residential District 07,s,s,s,s,14,s,175,19
1,Residential District 08,6,s,7,s,22,7,337,23
1,Residential District 09,6,s,10,s,26,s,347,42
1,Residential District 10,7,s,15,9,48,9,417,31
1,Residential District 11,9,s,6,s,35,s,477,35
1,Residential District 12,s,s,6,s,22,9,204,14
1,Residential District 13,26,7,26,s,196,17,356,50
1,Residential District 14,33,7,54,11,108,16,270,38
1,Residential District 15,s,s,17,s,384,22,820,124
1,Residential District 16,9,s,13,6,49,7,126,s
1,Residential District 17,15,s,20,8,82,s,231,16
1,Residential District 18,s,s,7,s,45,s,154,7
1,Residential District 19,11,s^,8,s,59,11,324,22
1,Residential District 20,7,s,6,s,58,s,315,29
1,Residential District 21,s,s,s,s,56,9,166,21
1,Residential District 22,s,s,13,7,86,8,280,28
1,Residential District 23,6,s,s,s,25,s,106,9
1,Residential District 24,12,s,17,11,151,14,710,56
1,Residential District 25,s,s,s,s,46,s,136,11
1,Residential District 26,s,s,s,s,22,s,93,8
1,Residential District 27,s,s,7,s,110,6,275,14
1,Residential District 28,s,s,7,s,138,15,229,15
1,Residential District 29,s,s,s,s,30,s,133,10
1,Residential District 30,11,s^,19,s,90,7,508,30
1,Residential District 31,s,s,s,s,64,6,103,11
1,Residential District 32,13,6,12,s^,27,s,152,11
1,Residential District Unknown,s,s,s,s,17,s,27,s
1,Zip Code 07107,s,s,s,s,s,s,s,s
1,Zip Code 10001,s,s,s,s,12,s,35,s
1,Zip Code 10002,285,216,334,288,408,306,556,145
1,Zip Code 10003,50,56,55,46,54,30,62,12
1,Zip Code 10004,s,s,s,s,7,s,19,s
1,Zip Code 10005,s,s,6,s,9,s,15,s
1,Zip Code 10006,s,s,s,s,s,s,9,s
1,Zip Code 10007,s,s,s,s,17,s,31,s
1,Zip Code 10009,227,s^,256,241,226,207,245,75
1,Zip Code 10010,52,s^,27,s,30,s,60,s
1,Zip Code 10011,9,s^,8,s,21,s,98,7
1,Zip Code 10012,33,9,9,s,30,8,61,s
1,Zip Code 10013,32,15,12,s,55,s,125,9
1,Zip Code 10014,s,s,s,s,22,s,69,9
1,Zip Code 10016,21,27,11,s,38,7,91,12
1,Zip Code 10017,s,s,s,s,16,s,31,s
1,Zip Code 10018,s,s,s,s,s,s,12,s
1,Zip Code 10019,s,s,s,s,16,s,55,s
1,Zip Code 10021,s,s,s,s,17,s,66,s
1,Zip Code 10022,s,s,s,s,23,s,55,7
1,Zip Code 10023,s,s,s,s,67,s,106,18
1,Zip Code 10024,s,s,s,s,37,s,96,11
1,Zip Code 10025,s,s,s,s,44,s,187,30
1,Zip Code 10026,s,s,s,s,7,s,98,10
1,Zip Code 10027,s,s,s,s,24,s,108,s
1,Zip Code 10028,s,s,s,s,21,s,82,s
1,Zip Code 10029,s,s,9,s,39,8,219,16
1,Zip Code 10030,s,s,s,s,16,s,54,s
1,Zip Code 10031,s,s,s,s,12,s,78,9
1,Zip Code 10032,s,s,s,s,13,s,90,8
1,Zip Code 10033,s,s,s,s,8,s,92,s
1,Zip Code 10034,s,s,s,s,9,s,54,s
1,Zip Code 10035,s,s,s,s,16,6,94,6
1,Zip Code 10036,s,s,s,s,12,s,45,s
1,Zip Code 10037,s,s,s,s,10,s,34,s
1,Zip Code 10038,14,s^,s,s,40,s,100,14
1,Zip Code 10039,s,s,s,s,15,s,71,s
1,Zip Code 10040,s,s,s,s,s,s,63,s
1,Zip Code 10044,s,s,s,s,14,s,38,s
1,Zip Code 10065,s,s,s,s,15,s,50,s
1,Zip Code 10069,s,s,s,s,7,s,12,s
1,Zip Code 10075,s,s,s,s,20,s,57,s
1,Zip Code 10128,s,s,s,s,44,7,137,9
1,Zip Code 10162,s,s,s,s,s,s,s,s
1,Zip Code 10163,s,s,s,s,s,s,s,s
1,Zip Code 10280,s,s,s,s,14,s,46,6
1,Zip Code 10282,s,s,s,s,25,s,30,8
1,Zip Code 10301,s,s,s,s,11,s,18,s
1,Zip Code 10302,s,s,s,s,s,s,s,s
1,Zip Code 10303,s,s,s,s,s,s,s,s
1,Zip Code 10304,s,s,s,s,11,s,17,s
1,Zip Code 10305,s,s,s,s,7,s,15,s
1,Zip Code 10306,s,s,s,s,6,s,7,s
1,Zip Code 10307,s,s,s,s,s,s,s,s
1,Zip Code 10308,s,s,s,s,s,s,s,s
1,Zip Code 10309,s,s,s,s,s,s,s,s
1,Zip Code 10310,s,s,s,s,s,s,10,s
1,Zip Code 10312,s,s,s,s,s,s,s,s
1,Zip Code 10314,s,s,s,s,11,s,17,s
1,Zip Code 10451,s,s,s,s,s,s,79,8
1,Zip Code 10452,s,s,s,s,11,s,134,17
1,Zip Code 10453,6,s,s,s,12,s,106,13
1,Zip Code 10454,s,s,s,s,6,s,54,8
1,Zip Code 10455,s,s,s,s,s,s,76,6
1,Zip Code 10456,s,s,s,s,9,s,132,8
1,Zip Code 10457,s,s,s,s,s,s,82,10
1,Zip Code 10458,s,s,s,s,s,s,89,7
1,Zip Code 10459,s,s,s,s,s,s,67,s
1,Zip Code 10460,s,s,s,s,13,s,67,6
1,Zip Code 10461,s,s,s,s,7,s,96,8
1,Zip Code 10462,s,s,s,s,7,s,180,16
1,Zip Code 10463,s,s,s,s,15,s,58,s
1,Zip Code 10464,s,s,s,s,s,s,7,s
1,Zip Code 10465,s,s,s,s,s,s,39,s
1,Zip Code 10466,s,s,s,s,7,s,76,6
1,Zip Code 10467,s,s,s,s,12,s,138,7
1,Zip Code 10468,s,s,s,s,9,s,91,8
1,Zip Code 10469,s,s,s,s,s,s,65,s
1,Zip Code 10470,s,s,s,s,s,s,21,s
1,Zip Code 10471,s,s,s,s,9,s,12,s
1,Zip Code 10472,s,s,s,s,9,s,157,10
1,Zip Code 10473,s,s,s,s,6,s,84,11
1,Zip Code 10474,s,s,s,s,s,s,15,s
1,Zip Code 10475,s,s,s,s,6,s,44,s
1,Zip Code 11001,s,s,s,s,s,s,s,s
1,Zip Code 11004,s,s,s,s,s,s,s,s
1,Zip Code 11040,s,s,s,s,s,s,s,s
1,Zip Code 11101,s,s,6,s,32,s,42,s
1,Zip Code 11102,s,s,s,s,s,s,36,s
1,Zip Code 11103,s,s,s,s,s,s,33,s
1,Zip Code 11104,s,s,s,s,12,s,47,s
1,Zip Code 11105,s,s,s,s,s,s,57,s
