,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 True Applicants,Grade 9 Seats Available - Notes
60197,14,14K449,Brooklyn Latin School The,All Students,399,12343,388,,
56482,13,13K430,Brooklyn Technical High School,All Students,1429,19983,1421,,
24430,3,03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,All Students,1858,3853,868,,
30776,5,05M692,High School for Mathematics Science and Engineering at City College,All Students,175,15633,174,,
47579,10,10X696,High School of American Studies at Lehman College,All Students,119,11691,115,,
106250,28,28Q687,Queens High School for the Sciences at York College,All Students,114,12666,116,,
118176,31,31R605,Staten Island Technical High School,All Students,282,9232,287,,
15009,2,02M475,Stuyvesant High School,All Students,757,19163,762,,
46844,10,10X445,The Bronx High School of Science,All Students,723,14231,731,,
